EnglishName	EnglishAlternatives	Greek	GrkTranslit	GrkTidy	Hebrew	HebTranslit	HebTidy	Comment
Hezron		Ἑσρώμ	Hesrōm	Hesrom	חֶצְרוֹן	Ḩeʦrōn	Hetsron	
Hezekiah		Ἑζεκίας	Hezekias	Hezekias	חִזְקִיָּה	Ḩizqiyyāh	Hizkiyah	
Isaac		Ἰσαὰκ	Isaʼak	Isaʼak	יִצְחָק	Yiʦḩāq	Yitshak	
Isaiah		Ἠσαίας	Aʸsaias	Esaias	יְשַׁעְיָה	Yəshaˊyāh	Yeshaˊyah	
Israel		Ἰσραήλ	Israaʸl	Israel	יִשְׂרָאֵל	Yisrāʼēl	Yisraʼel	
Issachar		Ἰσαχάρ	Isaⱪar	Isaⱪar	יִשָּׂשׂכָר	Yissāskār	Yissaskar	Rev 7:7
Jacobus		Ἰάκωβος	Yakōbos	Yakobos	יַעֲקֹב	Yaˊₐqoⱱ	Yaˊakov	
Jacob		Ἰακὼβ	Yakōb	Yakob	יַעֲקֹב	Yaˊₐqoⱱ	Yaˊakov	
James		Ἰάκωβος	Yakōbos	Yakobos	יַעֲקֹב	Yaˊₐqoⱱ	Yaˊakov	
Jannai		Ἰαννά	Yanna	Yanna	יָנָה?	Yānāh?	Yanah?	
Jared		Ἰαρέδ	Yared	Yared	יֶרֶד	Yered	Yered	
Jechonias		Ἰεχονίας	Yeⱪonias	Yeⱪonias	יְכָנְיָה	Yəkānəyāh	Yekaneyah	
Jephtha		Ἰεφθάε	Yefthae	Yefthae	יִפְתָּח	Yiftāḩ	Yiftah	Heb 11:32
Jeremiah		Ἰερεμίας	Yeremias	Yeremias	יִרְמְיָה	Yirməyāh	Yirmeyah	Matt 27:9
Jesse		Ἰεσσαί	Yessai	Yessai	יִשַׁי	Yishay	Yishay	
Jesus		Ἰησοῦς	Yaʸsous	Yesous	יְהוֹשׁוּעַ	Yəhōshūˊa	Yehoshuˊa	
Joanan		Ἰωανάν	Yōanan	Yoanan	?	?	?	Luke 3:27
Joatham		Ἰωαθάμ	Yōatham	Yoatham	יוֹתָם	Yōtām	Yotam	
Job		Ἰώβ	Iōb	Iob	אִיּוֹב	ʼIyyōⱱ	Iyyov	Jam 5:11
Joel		Ἰωήλ	Yōaʸl	Yoel	יוֹאֵל	Yōʼēl	Yoʼel	Acts 2:16
Jonah		Ἰωνᾶς	Yōnas	Yonas	יוֹנָה	Yōnāh	Yonah	Matt 16:4
Jonam		Ἰωνάν	Yōnan	Yonan	?	?	?	Luke 3:30
Joram		Ἰωράμ	Yōram	Yoram	יוֹרָם	Yōrām	Yoram	
Jorim		Ἰωρείμ	Yōreim	Yoreim	יוֹרָם?	Yōrām?	Yoram?	
Josaphat		Ἰωσαφάτ	Yōsafat	Yosafat	יְהוֹשָׁפָט	Yəhōshāfāţ	Yehoshafaţ	
Joseph		Ἰωσὴφ	Yōsaʸf	Yosef	יוֹסֵף	Yōşēf	Yosef	
Joses		Ἰωσῆς	Yōsaʸs	Yoses	יוֹסֵף?	Yōşēf?	Yosef?	
Joshua		Ἰησοῦς	Yaʸsous	Yesous	יְהוֹשׁוּעַ	Yəhōshūˊa	Yehoshuˊa	Acts 7:45 same as Jesus
Josiah		Ἰωσίας	Yōsias	Yosias	יאֹשִׁיָּה	Yʼoshiyyāh	Yʼoshiyah	
Jotham		Ἰωαθάμ	Yōatham	Yoatham	יוֹתָם	Yōtām	Yotam	
Jodah		Ἰούδα	Youda	Youda	יֻטָּה/יְהוּדָה	Yuţţāh/yəhūdāh	Yuţţah/yehudah	Luke 3:26
Judah		Ἰούδα	Youda	Youda	יְהוּדָה	Yəhūdāh	Yehudah	
Judas		Ἰούδας	Youdas	Youdas	יְהוּדָה	Yəhūdāh	Yehudah	
Jude		Ἰούδας	Youdas	Youdas	יְהוּדָה	Yəhūdāh	Yehudah	
Kis		Κίς	Kis	Kis	קִישׁ	Qīsh	Kish	Acts 13:21
Kore		Κορέ	Kore	Kore	קֹרַח	Qoraḩ	Korah	Jude 11
Lamech		Λάμεχ	Lameⱪ	Lameⱪ	לֶמֶךְ	Lemek	Lemek	
Levi		Λευΐ	Leui	Leui	לֵוִי	Lēvī	Levi	
Lot		Λώτ	Lōt	Lot	לוֹט	Lōţ	Loţ	Luke 17:28
Maat		Μαάθ	Maʼath	Maʼath	מָעַט?	Māˊaţ?	Maˊaţ?	
Maath		Μαάθ	Maʼath	Maʼath	מָעַט?	Māˊaţ?	Maˊaţ?	
Magog		Μαγώγ	Magōg	Magog	מָגוֹג	Māgōg	Magog	
Maleleel		Μαλελεήλ	Maleleaʸl	Maleleel	מַהֲלַלְאֵל	Mahₐlalʼēl	Mahalalʼel	
Manasseh		Μανασσῆς	Manassaʸs	Manasses	מְנַשֶּׁה	Mənashsheh	Menashsheh	Rev 7:6
Mary		Μαρία	Maria	Maria	מִרְיָם	Miryām	Miryam	
Mathusala		Μαθουσάλα	Mathousala	Mathousala	מְתוּשֶׁלַח	Mətūshelaḩ	Metushelah	
Matthan		Ματθάν	Matthan	Matthan	מַתָּן	Mattān	Mattan	
Matthat		Μαθθὰτ	Maththat	Maththat	מַתָּת	Mattāt	Mattat	
Matthat		Ματθάτ	Matthat	Matthat	מַתָּת	Mattāt	Mattat	
Mattathias		Ματταθίας	Mattathias	Mattathias	מַתִּתְיָה	Mattityāh	Mattityah	
Mattatha		Ματταθά	Mattatha	Mattatha	מַתַּתָּה	Mattattāh	Mattattah	
Mattat		Μαθθὰτ	Maththat	Maththat	?	?	?	
Melea		Μελεᾶς	Meleas	Meleas	מְלֵאָה?	Məlēʼāh?	Meleʼah?	
Melchisedek		Μελχισεδέκ	Melⱪisedek	Melⱪisedek	מַלְכִּי־צֶדֶק	Malkī-ʦedeq	Malki-tsedek	
Melchi		Μελχί	Melⱪi	Melⱪi	מֶלֶךְ	Melek	Melek	
Menna		Μαϊνάν	Mainan	Mainan	?	?	?	
Michael		Μιχαήλ	Miⱪaaʸl	Miⱪael	מִיכָאֵל	Mīkāʼēl	Mikaʼel	
Midian		Μαδιάμ	Madiam	Madiam	מִדְיָן	Midyān	Midyan	Acts 7:29
Moloch		Μολόχ	Moloⱪ	Moloⱪ	מֹלֶךְ	Molek	Molek	Acts 7:43
Moses		Μωσῆς	Mōsaʸs	Moses	מֹשֶׁה	Mosheh	Mosheh	
Naaman		Νεεμάν	Neʼeman	Neʼeman	נַעֲמָן	Naˊₐmān	Naˊaman	Luke 4:27
Naasson		Ναασσών	Naʼassōn	Naʼasson	נַחְשׁוֹן	Naḩshōn	Nahshon	
Nachor		Ναχώρ	Naⱪōr	Naⱪor	נָחוֹר	Nāḩōr	Nahor	
Naggai		Ναγγαί	Nangai	Nangai	נֹגַהּ?	Nogah?	Nogah?	
Nahum		Ναούμ	Naoum	Naoum	נַחוּם	Naḩūm	Nahum	
Natham		Ναθάν	Nathan	Nathan	נָתָן	Nātān	Natan	
Nathan		Ναθάν	Nathan	Nathan	נָתָן	Nātān	Natan	
Naum		Ναούμ	Naoum	Naoum	נַחוּם	Naḩūm	Nahum	
Nephthalim		Νεφθαλείμ	Nefthaleim	Nefthaleim	נַפְתָּלִי	Naftālī	Naftali	
Neri		Νηρί	Naʸri	Neri	נֵרִיָּה	Nēriyyāh	Neriyah	
Noah		Νῶε	Nōe	Noe	נֹחַ	Noaḩ	Noah	
Obed		Ἰωβήδ/Ὠβήδ	Yōbaʸd/Ōbaʸd	Yobed/Ōbed	עוֹבֵד	ˊŌⱱēd	Ōved	
Ozias		Ὀζίας	Ozias	Ozias	עֻזִּיָּה	ˊUzziyyāh	Uzziyah	
Peleg		Φάλεκ	Falek	Falek	פֶלֶג	Feleg	Feleg	
Perez		Φαρές	Fares	Fares	פֶרֶץ	Fereʦ	Ferets	
