Lemma	Glosses
בָּרֶקֶת	emerald
בָּרַד	hail
בָּרַח	chases_away;drove_out;drove_~_away;fled;flee;flee_away;fleeing;flees;gone_back;in_headlong_flight;make_haste;pass_through;put_to_flight;ran_away;run_away;running_away
בָּרַךְ	bless;bless_of;blessed;blessed_of;blesses;blessing;congratulate;count_~_happy;curse;cursed;curses;gave_~_blessing;greet;greeted;greets;I_will_bless;invoke_blessings;invokes_a_blessing;kneel;kneel_down;knelt;pronounce_blessings;to_bless
בָּרַכְאֵל	Barachel
בָּרַק	flash_forth;lightning
בָּרַר	choice;chosen;cleanse;polished;pure;purge;purified;purify;sharpen;show_~_pure;sincerely;testing
בָּרָא	brings_about;clear;create;created;created_of;creates;creating;creation;creator;creator_of;cut_~_down;done;make;making_~_fat
בָּרָד	hail;hailstones
בָּרָה	choose;eat;food;give_~_toeat;persuade_~_toeat
בָּרָק	Barak;Barak's;flash_like_lightning;flashing_of;glittering_of;glittering_point;lightning;lightnings;lightnings_of
בָּרֹד	dappled;mottled
בָּרוּךְ	Baruch
בָּרוּת	food_of
בָּשֵׁל	boiled
בָּשַׁל	baked;boil;boiled;boiling;cook;cooked;cooking;make;ripe;ripened;roasted;seethe
בָּשַׁס	trample
בָּשָׁן	Bashan
בָּשַׂר	bore_the_tidings;bring_good_news;bring_~_news;bringing_good_news;brings_good_news;brings_~_news;brought_the_news;carry_news;carry_the_good_news;carry_tidings;carry_~_news;good_tidings;herald_of_good_news_of;messenger;proclaim
בָּשָׂר	bodies_of;body;body_of;creature;flesh;flesh_of;genitalia_of;kin_of;lust;mankind;meat;meat_of;members_of;people;skin_of
בָּתַק	cut_~_topieces
בָּתַר	cut
בָּתָה	wasteland
בֹּֽכְרוּ	Bocheru
בֹּאר	cisterns;well_of
בֹּגְדוֹת	treacherous
בֹּהֶן	big_toe_of;big_toes_of;thumb_of;thumbs/big_toes_of;thumbs_of
בֹּהַן	Bohan
בֹּהַק	rash
בֹּהוּ	emptiness;empty;void
בֹּחַן	tested
בֹּכִים	Bochim
בֹּסֶר	grape;sour_grapes
בֹּעַז	Boaz
בֹּץ	mud
בֹּקֶר	dawn;morning;mornings;next_morning
בֹּר	cleanness_of;lye
בֹּרִית	soap
בֹּשֶׁת	-bosheth;shame;shame_of;shamed_of;shameful_thing
בֹּשֶׂם	spice_of
בֻּנִּי	Bunni
בֻּקִּי	Bukki
בֻּקִּיָּהוּ	Bukkiah
בׇּאְשָׁה	stinkweed
בׇּצְקַת	Bozkath
בׇּצְרָה	Bozrah;fold
בׇּשְׁנָה	shame
בּוֹא	adding;advance;advanced;advanced_in_years;apply;arrival;arrive;arrived;arrives;associate;attain;attendants_of;been;befalls;being;breaks_in;bring;bring_about;bring_in;bring_into;bring_~_back;bring_~_in;bring_~_into;bring_~_topass;bringing;bringing_in;bringing_of;brings;brought;brought_back;brought_in;brought_into;brought_~_about;brought_~_back;brought_~_in;brought_~_into;brought_~_topass;came;came_back;came_in;came_into;came_to_pass;carried;carry;carry_~_off;cause_~_toenter;close;come;come_back;come_in;come_into;come_of;come_on;come_on_duty_of;come_to_pass;come_true;come_up;come_upon;comes;comes_in;comes_of;comes_true;coming;coming_in;coming_of;consort;delivered;direction;done;encroach;enter;enter_in;entered;entering;enters;entrance;extended;extending;fall;fulfill;fulfilled;gain;gave;get;get_in;get_into;give;go;go_back;go_down;go_in;go_into;go_off_duty_of;go_on_back;go_to_of;goes;goes_down;goes_in;goes_into;going;going_down;going_in;gone;gone_in;granted;had;happened;harvest;harvested;have;have_~_serve;he_comes;he_comes_true;he_may_go;he_will_come;he_will_sweep_on;heard;in_days_to_come;in_the_direction_of;inserted;intermarry;invade;invaded;invades;lebo;lebo-hamath;lebo_of;led;ledges;marching_through;mentioned;occupy;passage;penetrate;pierce;placing;presented;put;put_in;putting;reached;resound;return;returned;run_down;runs;send;set;set_out;sets;share;shedding;shot;strikes;take;take_place;to_advance;to_come;to_come_true;to_go;to_return;to_set;to_sweep_on;took;touched;touching;well_advanced;went;went_back;went_down;went_in;went_in_of;went_into;went_up;wielding;will_we_come;withstand
בּוֹצֵץ	Bozez
בּוֹקֵר	herdsman
בּוֹר	cistern;cistern_of;cisterns;death;dungeon;pit;pit_of;pits;prison;well;well_of
בּוֹר עָשָׁן	-ashan;Bor-
בּוֹשׁ	acts_shamefully;ashamed;became_embarrassed;brings_shame;comes_to_shame;confounded;delayed;disappointed;disgraced;dismayed;dry_up;frustrate;in_despair;in_shame;long;put_to_shame;put_~_toshame;shame;shamed;they_will_be_ashamed;worse
בּוּז	belittles;Buz;contempt;contempt_of;despise;despised;despises;laughingstock;scorns;they_would_scorn;to_scorn
בּוּזִי	Buzi;Buzite
בּוּזָה	despised
בּוּךְ	bewildered;wander_about;wandering_aimlessly
בּוּל	block_of;Bul;food_of
בּוּנָה	Bunah
בּוּס	kicking_about;loathes;trample_~_down;trampled;trampled_down;trampled_underfoot;trampling;tread_down
בּוּץ	fine_linen;fine_~_linen;linen
בּוּקָה	devastation
בּוּר	concluded
בּוּשָׁה	shame
ברזות	Birzaith
גְלִילָה	region;region_of;regions_of
גְרוּשָׁה	evictions_of
גְּאֻלָּה	exiles_of;redeem_of;redeemed;redemption;redemption_of;right_of_redemption;right_of_redemption_of
גְּאוּאֵל	Geuel
גְּאוּלַי	redemption_of
גְּבִינָה	cheese
גְּבִיר	lord
גְּבִירָה	queen;queen_mother
גְּבֶרֶת	mistress_of;queen
גְּבַל	Gebal
גְּבַר	certain;man;men
גְּבָל	Gebal
גְּבוּל	banks;barrier;border;border_of;borders_of;boundaries_of;boundary;boundary_marker_of;boundary_of;coast;coastline;country_of;extent_of;landmark;regions_of;rim;rim_of;territories_of;territory;territory_of;wall;wall_of
גְּבוּלָה	border_of;borders_of;boundaries_of;landmarks;territories_of
גְּבוּרָה	might;might_of;mighty;mighty_acts_of;mighty_deeds_of;mighty_of;mighty_power_of;mighty_strength;power;power_of;strength;strength_of;victory;warriors_of
גְּדִי	kid;kid_of;young_goat;young_goat_of;young_goats;young_of;young_one_of
גְּדִיָּה	young_goats_of
גְּדִלִים	tassels;wreaths
גְּדֵרִי	Gederite
גְּדֵרָה	Gederah;pens;pens_of;wall;wall_of;walls;walls_of
גְּדֵרָתִי	Gederathite
גְּדֵרֹתָיִם	Gederothaim
גְּדֵרוֹת	Gederoth
גְּדַד	cut_down
גְּדַלְיָה	Gedaliah
גְּדַלְיָהוּ	Gedaliah
גְּדָֽבְרַיָּא	treasurers
גְּדוֹר	Gedor
גְּדוּד	band;band_of_men;band_of_raiders;bandits;bands_of;divisions;gashes;marauding_band;raid;raiders;raiding_bands;raids;robbers;troop;troops;troops_of;units_of
גְּדוּדָה	ridges_of
גְּדוּלָּה	distinction;great;greatness;greatness_of;honor_of
גְּדוּפָה	taunt
גְּוִיָּה	bodies_of;body_of;carcass_of;corpses;dead_bodies;dead_of
גְּזֵלָה	plunder_of;robbery;things_~_hadstolen;what_~_hastaken_by_robbery
גְּזֵרָה	barren;decree_of
גְּזַר	cut_out;diviners
גְּלִילוֹת	Geliloth
גְּלָא	deported;reveal;revealed;revealer_of;reveals
גְּלָל	great;huge
גְּלוֹם	clothes_of
גְּמַלִּי	Gemalli
גְּמַר	peace
גְּמַרְיָהוּ	Gemariah
גְּמוּל	benefit;benefits_of;deeds_of;deserved_of;recompense;recompense_of;requital;retribution_of;what_is_deserved;what_~_deserve;what_~_deserve_of;what_~_deserves;what_~_havedone_of;work_of
גְּמוּלָה	deeds;recompense;reward
גְּנֵבָה	stolen;theft_of
גְּנַז	treasury;treasury_of
גְּנָזִים	carpets_of;treasury_of
גְּנֻבַת	Genubath
גְּעָרָה	rebuke;rebuke_of;threat;threat_of
גְּרִזִים	Gerizim
גְּרַם	bones_of
גְּרָר	Gerar
גְּשֵׁם	bodies_of;body_of
גְּשׁוּר	Geshur
גְּשׁוּרִי	Geshurites
גִּבְלִי	Gebalites
גִּבְעַת	Gibeah
גִּבְעָא	Gibea
גִּבְעָה	Geba;gibeah;Gibeah;gibeah_of;hill;hill_of;hills;hills_of
גִּבְעָתִי	Gibeathite
גִּבְעֹל	bud
גִּבְעֹנִי	Gibeonite;Gibeonites
גִּבְעוֹן	Gibeon
גִּבְּתוֹן	Gibbethon
גִּבֵּחַ	baldness_of_the_forehead
גִּבֵּן	hunchback
גִּבָּר	Gibbar;soldiers_of
גִּבּוֹר	champion_of;chief_of;heroes;man;man_of;men_of;mighty;mighty_of;mighty_warrior;mighty_warriors;prominent_of;soldiers_of;strong;warrior;warrior's;warrior_of;warriors;warriors_of
גִּדְעֹם	Gidom
גִּדְעֹנִי	Gideoni
גִּדְעוֹן	Gideon
גִּדֵּל	Giddel
גִּדַּלְתִּי	Giddalti
גִּדּוּפִים	reviling;revilings_of
גִּזְבָּר	treasurer;treasurers
גִּזְרִי	Girzites
גִּזְרָה	appearance_of;courtyard;temple_yard;vacant_area;yard
גִּזָּה	fleece;fleece_of
גִּזוֹנִי	Gizonite
גִּיד	sinew_of;sinews;sinews_of
גִּיחַ	burst_out;charged;Giah;groan;rushes;stirring_up;thrash_about;took_of
גִּיחוֹן	Gihon
גִּיל	age_of;delight;exceedingly;exult;glad;gladness;he_has_joy;joy;rejoice;rejoiced;rejoices;surpassing_of;to_have_joy
גִּילָה	joy;joy_of
גִּילֹנִי	Gilonite
גִּינַת	Ginath
גִּיר	plaster
גִּלְבֹּעַ	Gilboa
גִּלְגָּל	-gilgal;Gilgal;wheel_of
גִּלְעָד	-gilead;Gilead;Gilead's;Gileadites
גִּלְעָדִי	Gilead;Gileadite;Gileadites
גִּלֲלַי	Gilalai
גִּלֹה	Giloh
גִּלָּיוֹן	mirrors;tablet
גִּלּוּל	idolatry_of;idols;idols_of
גִּמְזוֹ	Gimzo
גִּנְּתוֹן	Ginnethoi;Ginnethon
גִּנָּה	garden_of;orchard_of
גִּר	chalk
גִּרְגָּשִׁי	Girgashite;Girgashites
גִּשְׁפָּא	Gishpa
גִּתִּי	Gath;Gittite;Gittites
גִּתִּית	gittith
גִּתָּיִם	Gittaim
גֵּא	proud
גֵּאֶה	proud
גֵּאָה	pride
גֵּאוּת	arrogance;column_of;glorious_things;majesty;majesty_of;proud_of;raging_of
גֵּב	beams;cisterns;ditches;locusts
גֵּבִים	Gebim
גֵּה	this
גֵּהָה	medicine
גֵּו	back_of;backs_of;society
גֵּוָה	back;pride
גֵּז	fleece_of;mowings_of;mown_grass
גֵּזֶל	robbery_of;violation_of
גֵּיחֲזִי	Gehazi
גֵּישָׁן	Geshan
גֵּל	dung;dung_of
גֵּר	alien;alien's;alien_of;aliens;aliens_of;resident_alien;resident_alien_of;resident_aliens;stranger;strangers
גֵּרְשֹׁם	Gershom;Gershon
גֵּרְשֻׁנִּי	Gershonite;Gershonites
גֵּרְשׁוֹן	Gershom;Gershon
גֵּרָא	Gera
גֵּרָה	cud;gerahs
גֵּרוּת	geruth_of
גֶּבֶא	cistern;marshes_of
גֶּבֶר	boy;each;Geber;heads_of_families;husband;man;man's;man_of;men;person;strong_man
גֶּבַע	Geba;Gibeah
גֶּדֶר	Geder;wall_of
גֶּזֶר	asunder;Gezer;pieces
גֶּזַע	stem_of;stump_of
גֶּלֶד	skin_of
גֶּפֶן	vine;vine_of;vines;vines_of
גֶּרֶם	bare_of;bone;bones;limbs_of;strong
גֶּרֶשׁ	yield_of
גֶּרֶשׂ	crushed_grain_of;crushed_of
גֶּשֶׁם	Geshem;heavy_rain;rain;rain_of;rains_of;rainy;shower_of;showers;showers_of
גֶּתֶר	Gether
גַּאֲוָה	arrogance_of;arrogant;back;insolence_of;majesty_of;pride;pride_of;proud;proudly_of;surging_of;triumph_of
גַּאֲיוֹן	proud
גַּב	back_of;backs_of;brows_of;defenses_of;height_of;mound;mound_of;mounds_of;rims_of;studded_of
גַּבְהוּת	haughtiness_of;haughty_of
גַּבְלֻת	braided
גַּבְנֹן	many-peaked;peaks
גַּבְרִיאֵל	Gabriel
גַּבַּחַת	bald_forehead;bald_forehead_of;front_of
גַּבַּי	Gabbai
גַּבַּי סַלָּי	Sallai
גַּד	coriander;Fortune
גַּדִּי	Gaddi
גַּדִּיאֵל	Gaddiel
גַּו	back_of;backs_of;inside_of;midst_of;within_of
גַּזָּם	Gazzam
גַּחֶלֶת	burning_coals;burning_coals_of;coal;coals;coals_of;ember_of;hot_coals;hot_embers
גַּחַם	Gaham
גַּחַר	Gahar
גַּיְא	Ge-;valley;Valley;valley_of;Valley_of;valley_of_Ben-;Valley_of_Hamon-;valley_of_Iphtah-;valleys;valleys_of
גַּל	billows_of;heap;heap_of;heap_of_ruins;heaps;pile_of;pile_of_rocks;rubble;spring;stone_heaps;waves;waves_of
גַּלְגַּל	tumbleweed;wagons;wheel;wheels_of;wheelwork;whirling_dust;whirlwind
גַּלְמוּד	barren;hard
גַּלְעֵד	Galeed
גַּלִּים	Gallim
גַּלָּב	barber's
גַּם	again;alike;also;and;another;as;as_soon_as;at_all;besides;both;both_~_and;but;by_all_means;certainly;either;even;even_if;even_then;even_though;for;furthermore;in_addition;in_fact;in_spite_of;in_turn;indeed;instead;just_as;likewise;moreover;neither;nor;not_only;not_only_~_but_~_also;now;or;rather;really;same;so;still;then;therefore;though;together;together_with;too;very;what;what's;when;whether;with;yes;yet
גַּמְלִיאֵל	Gamaliel
גַּמָּדִים	Gammadites
גַּן	-haggan;garden;garden_of;gardens
גַּנְזַךְ	treasuries_of
גַּנָּב	kidnapper;thief;thieves
גַּנָּה	garden;garden_of;gardens;gardens_of
גַּעְתָּם	Gatam
גַּעַל	Gaal
גַּעַשׁ	Gaash
גַּף	single_of;wings;wings_of
גַּרְגְּרוֹת	neck_of
גַּרְגַּר	olives
גַּרְזֶן	ax;axe;chisel
גַּרְמִי	Garmite
גַּת	Gath;wine_press;winepress;winepresses
גַּת הַחֵפֶר	-hepher;Gath-
גַּת־רִמּוֹן	-rimmon;Gath-
גָּאַל	avenger;avenger_of;claim;defile;defiled;excluded_~_asunclean;kindred_of;next_of_kin;redeem;redeemed;redeemed_of;redeemer;redeemer_of;redeemers_of;redeems;stained;to_redeem
גָּאָה	grow;he_is_exalted;lifted_up;risen;to_be_exalted
גָּאוֹן	arrogance;majestic_of;majesty;majesty_of;pomp_of;pride;pride_of;proud_of;thickets_of
גָּבִיעַ	cup;cup_of;cups;cups_of;pitchers
גָּבִישׁ	crystal
גָּבַהּ	become_proud;builds_~_high;courageous;exalt;exalted;grew_proud;haughty;high;higher;lofty;make_~_high;mounts_up;on_high_of;proud;raised_~_toa_~_greatheight;soar;taller;towered;upward
גָּבַל	borders;forms_~_boundary;set_limits;set_limits_around;set_up
גָּבַר	behaving_arrogantly;bid_defiance;exert_more;gained_an_advantage;great;grow_mighty;prevail;prevailed;prevails;strengthen;strong;stronger;swelled
גָּבֹהַּ	great_of;haughty;haughty_of;height_of;heights;high;higher;higher_officials;lofty;long;longer;official;proud_of;proudly;taller
גָּג	housetops;housetops_of;roof;roofs;roofs_of;top_of
גָּד	Gad;good_fortune
גָּדִי	Gad;Gadi;Gadite;Gadites
גָּדִישׁ	shocks;stack_of_sheaves;stacked_grain;tomb
גָּדֵל	he_became_powerful;ones_great_of;prospered;stature
גָּדֵר	fence;wall;wall_of;walls_of
גָּדַד	band_together;cut;gash;gashed;trooped;walled_around
גָּדַל	acted_arrogantly;advanced;astonishing;became_great;became_strong;became_tall;became_~_wealthy;become_great;become_rich;boast;boasted;bring_up;bringing_~_up;brought_up;brought_~_up;display_~_greatness;educated;exalt;exalted;exceedingly;excellent;far;full_grown;gives_great;great;great_things_~_done;greater;grew;grew_up;grew_~_great;grew_~_high;grow;grow_long;grown;grown_up;grows_up;he_made_great;honored;increased;lifted;made_boasts;made_great;made_~_great;magnified;magnify;make_great;make_so_much;make_~_great;more;nourished;precious;promoted;reared;rich;rises_up;triumphed
גָּדַע	broke;chopped_down;cut_down;cut_off;cut_through;cuts_through;hew_down
גָּדַף	blasphemed;blasphemes;reviler
גָּדַר	blocked;build;build_up;masons;repair;repairer;walled_up;walled_~_in
גָּדָה	banks_of
גָּדוֹל	bitterly;broad;even_more;exceedingly;extremely;far;great;great_of;greater;greatest;greatest_of;greatly;greatness_of;hard;heavy;high;highest;large;larger;leaders_of;loud;loudly;main;major;many;mighty;much;nobles_of;old;older;oldest;powerful;regarded;rich;severe;solemn;strong;stronger;to_become_powerful;vast;very;wealthy;wide
גָּהַר	bent;bent_down
גָּהָה	heal
גָּוַע	breathed_~_last;breathes_~_last;close_to_death;die;died;expire;perish;perished;perishing
גָּזִית	blocks_of_stone;cut;cut_stones;dressed;dressed_stone;dressed_stones;hewn_stone
גָּזֵז	Gazez
גָּזֵל	robbery
גָּזַז	cut_off;shaved;shear;shearers;shearers_of;shearing;shearing_of;sheepshearers
גָּזַל	caught;commit;commits;committed;rob;robbed;robs;robs_of;seize;seized;snatch;snatch_away;snatched;steal;stole;stolen;take_~_byforce;tear_of;took_by_robbery
גָּזַר	cut_down;cut_off;decide_on;decreed;divide;divided_of;excluded;gorged
גָּזָה	took_of
גָּזָם	cutter;cutting_locust;locust
גָּחוֹן	belly;belly_of
גָּלִיל	folding;Galilee;rings_of;rods_of
גָּלַח	cut;cut_the_hair;shave;shave_off;shaved;shaved_of;shaved_off
גָּלַל	commit;have_an_opportunity;lay_wallowing;roll;roll_down;roll_on;roll_up;roll_~_down;rolled;rolled_away;rolls;take_away;trusts
גָּלַם	rolled_~_up
גָּלַע	breaks_out;quick_to_quarrel;showing_contempt
גָּלַשׁ	moving_down
גָּלָה	banished;betray;captivity;carried_away;carried_away_into_exile;carried_captive;carried_into_exile;carried_on_~_soopenly;committed;confiding;departed;deport;deported;disclose;driven_out;exile;exiled;exiles;expose;exposed;expressing;go_into_exile;go_~_intoexile;gone;gone_into_exile;he_revealed;he_tells;he_will_go_into_exile;laid_bare;lay_uncovered;learned;lift_up;lifted_up;open;opened;opens;proclamation;published;remove;removed;reveal;revealed;revealing;reveals;send_~_intoexile;sent_into_exile;sent_~_intoexile;show;showed;strip_off;stripped;taken_into_exile;tell;telling;they_told;to_go_into_exile;to_reveal_myself;took_into_exile;took_~_intoexile;uncover;uncovered;uncovered_of;uncovering;uncovers;violated;went_into_exile
גָּלָל	account_of;because_of;dung;Galal;on_account_of
גָּלוּ	exile
גָּלוּת	community;community_of_exiles;exile_of;exiles_of
גָּמַל	benefits;brought;deal_bountifully;dealt_bountifully;did;does;done;paying_~_back;produced;recompense;repaid;repay;rewarded;rewarding;ripening;weaned;weaned_of
גָּמַר	at_an_end;come_to_an_end;fulfill;fulfills;no_longer
גָּמָא	drink;swallows
גָּמָל	camel;camel's;camels;camels_of
גָּמוּל	Gamul
גָּנַב	came_stealing;carries_away;carries_~_off;deceive;deceived;I_was_forced;kidnapping;kidnaps;steal;steal_in;steal_of;stealing;steals;stole;stole_into;stole_~_away;stolen;stolen_of;stolen_~_away;to_be_forced;to_be_stolen;tricked
גָּנַן	defend;protect;shield
גָּעַל	abhor;abhorred;abhors;defiled;fail;loathed
גָּעַר	rebuke;rebuked;rebukes
גָּעַשׁ	quaked;shaken;shook;stagger;surge;toss
גָּעָה	low;lowing
גָּרֵב	Gareb
גָּרַד	scrape
גָּרַז	cut_off
גָּרַם	break;gnaw;leave
גָּרַס	broken;consumed
גָּרַע	cut_off;draws_up;hinder;kept;limit;omit;reduce;reduced;take_away;taken;taken_away;withdraw
גָּרַף	swept_~_away
גָּרַר	chew;drags_~_out;sawed;sweep_~_away;whirling
גָּרַשׁ	banished;cast_~_out;divorced;drive;drive_out;drive_~_out;driven_out;driven_~_away;driven_~_out;driving_out;drove_out;drove_~_away;drove_~_out;he_will_drive_out;to_drive_out;toss_up;tossed_about;tossing
גָּרָב	itch;itching_disease;scurvy
גָּרָה	engage;engage_in_battle;engage_~_inbattle;mobilize;opposed;provoke;stirs_up;struggle;wage_war
גָּרוֹן	mouths_of;neck_of;necks;throat;throat_of;throats_of
גָּשַׁם	bring_rain
גָּשַׁשׁ	grope;grope_along
גֹּאֶל	defiled_of
גֹּב	den;den_of;Gob
גֹּבַהּ	dignity;haughty_of;height;height_of;high;high_of;higher_of;loftiness_of;pride_of;raised_platform;tall
גֹּבַי	locust;locusts
גֹּדֶל	arrogance_of;arrogant_of;great_of;greatness;greatness_of
גֹּלֶם	formless_of
גֹּמֶא	papyrus;rushes
גֹּמֶד	cubit
גֹּמֶר	Gomer
גֹּעַל	abhorred_of
גֹּעָה	Goah
גֹּפֶר	cypress
גֹּרֶן	threshing_floor;threshing_floor_of;threshing_floors;threshing_floors_of
גֹּשֶׁם	rained_upon_of
גֹּשֶׁן	Goshen
גֻּדְגֹּדָה	Gudgodah
גֻּלְגֹּלֶת	each;head;head_of;heads_of;individuals_of;skull;skull_of;total_of
גֻּלָּה	bowl;bowl_of;bowls;bowls_of;springs;springs_of
גׇּלְיַת	Goliath
גׇּפְרִית	brimstone;sulfur
גּוֹב	locust_swarm_of
גּוֹג	Gog
גּוֹזָל	young_of;young_pigeon
גּוֹזָן	Gozan
גּוֹי	Goiim;Haggoyim;herds;nation;nation_of;nations;nations_of;people;peoples
גּוֹיִם	Goiim
גּוֹלָה	captive;captives;exile;exiles
גּוֹלָן	Golan
גּוֹר	cubs_of
גּוֹרָל	allotment;allotted;allotted_inheritance_of;allotted_of;land_allotted_of;lot;lot_of;lots;territory_allotted_of
גּוּב	plowmen
גּוּד	attack;attacked;invading
גּוּז	brought;gone
גּוּמָּץ	pit
גּוּנִי	Guni;Gunites
גּוּף	shut
גּוּפָה	bodies_of;body_of
גּוּר	afraid;alien;aliens;attack;attacks;cub_of;cubs_of;dreaded;dwell;dwell_with;feared;gash;guests_of;Gur;he_attacks;human_habitation;intimidated;linger;live;lived;lived_as_an_alien;lives;lives_of;reside;resident_aliens;resides;residing;settle;sojourn;sojourned;sojourns;stand_in_awe;stay;stayed;staying;stir_up;stir_up_strife;strangers;terrified;to_attack;tremble;young_of
גּוּר־בָּעַל	-baal;Gur-
גּוּשׁ	encrusted_of
דָבַר	announce;argued;asked;break_out;commanded;decided;declare;declared;decree;decreed;destroyed;foretold;gave;go_on;he_speaks;instructed;made;makes_~_boasts;named;ordered;passed;plea;plotting;praying;preached;proclaim;promise;promised;pronounce;pronounced;propose;recited;reciting;repeated;replied;reported;said;say;saying;says;speak;speak_of;speak_on;speak_out;speak_up;speaking;speaking_of;speaks;spoke;spoken;state;statements;subdues;talk;talked;talking;talking_together;tell;telling;tells;threaten;threatened;to_say;to_speak;told;use;utter;utters;warned;word;words
דְּאָבָה	dismay
דְּאָבוֹן	languishing_of
דְּאָגָה	anxiety;fear;troubled
דְּבִיר	Debir;inner_sanctuary;inner_sanctuary_of;sanctuary_of
דְּבֵלָה	cakes_of_figs;fig_cake;fig_cakes;lump_of
דְּבֵק	united
דְּבַח	offered;sacrifices
דְּבַשׁ	honey;honey_of
דְּבוֹרָה	bee;bees;Deborah
דְּדָן	Dedan
דְּדָנִי	Dedanites
דְּהַב	gold
דְּוַי	loathsome_of;sick
דְּחִי	stumbling
דְּחַל	feared;frightened;frightening;terrifying;tremble
דְּיוֹ	ink
דְּכַר	rams
דְּלִי	bucket;buckets_of
דְּלִילָה	Delilah
דְּלַק	burning
דְּלָיָהוּ	Delaiah
דְּמֶשֶׁק	cushion
דְּמָה	like;looked_like
דְּמָמָה	silence;whisper
דְּמוּת	figure;figures_of;form_of;like;like_of;likeness;likeness_of;looked;model_of;resembling_of
דְּנָה	another;it;one;that;these;this
דְּעוּאֵל	Deuel
דְּקַק	broke_~_inpieces;broken_in_pieces;crush;crushed;crushes
דְּרַע	arms_of
דְּרוֹר	freedom;liberty;liquid;release;swallow
דְּתָבָר	judges
דֳּכִי	pounding_waves_of
דֳּמִי	keep_silent;prime_of;rest
דֳּפִי	slander
דִּבְיוֹנִים	dove's_dung
דִּבְלַיִם	Diblaim
דִּבְלָה	Diblah
דִּבְרִי	Dibri
דִּבְרָה	account_of;cause_of;order_of;reason_of;regard_of;word_of
דִּבֵּר	word
דִּבָּה	bad_report;bad_report_of;ill_repute_of;report_of;slander;slander_of;whispering_of
דִּי	as;because;for;from;he;in;of;so_that;that;that_of;what;when;where;which;who;who_of;whoever;whom;whomever;whose
דִּי זָהָב	-zahab;Di-
דִּיבֹן	Dibon
דִּיג	catch
דִּימוֹן	Dibon;Dimon
דִּימוֹנָה	Dimonah
דִּין	abide;administer;arguing;case;cause_of;court;defend;dispute;judge;judged;judges;judgment;just;justice;legal_claim;legal_right;plead;quarreling;rights_of;rule;vindicate;vindicated
דִּינָה	Dinah;Dinah's
דִּיפַת	Diphath
דִּישָׁן	Dishan;Dishon
דִּישֹׁן	Dishan;Dishon;ibex
דִּכְרוֹן	record
דִּכֵּן	that;this
דִּלְעָן	Dilean
דִּמְיֹן	likeness_of
דִּמְנָה	Dimnah
דִּמְעָה	tears;tears_of;weeping
דִּנְהָבָה	Dinhabah
דִּקְלָה	Diklah
דֵּהָיֵא	that_is
דֵּךְ	this
דֵּעַ	knowledge;knowledge_of;opinion_of;what_~_know_of
דֵּעָה	knowledge
דֵּרָאוֹן	abhorrence;contempt_of
דֶּבֶק	scale_armor;soldering
דֶּבֶר	pestilence;pestilence_of;plague;plagues;plagues_of
דֶּגֶל	banner_of;standard_of;standards_of
דֶּלֶף	dripping
דֶּלֶת	columns;door;door_of;doors;doors_of;gates;gates_of;gateway_of;leaves;leaves_of_a_door;lid_of
דֶּמַע	vats_of
דֶּרֶךְ	conduct_of;course_of;crossroads;did_of;direction_of;distance;favors_of;highway_of;journey;journey_of;life_of;line_of;long_of;manner_of;midcourse;mission;on_of;passage;passageway;path;path_of;place_of;road;road_of;roads;roads_of;roadside;roundabout_of;route;route_of;siege_ramp_of;street;to_of;toward_of;track;undertakings_of;way;way_of;ways;ways_of;work_of;works_of
דֶּשֶׁא	grass;green;herb;new_grass;new_growth;threshing;vegetation
דֶּשֶׁן	abundance;abundance_of;ash;ashes;fatness;oil_of;rich_food;richest;richness
דֶּתֶא	grass;tender_grass
דַּבֶּרֶת	words_of
דַּבֶּשֶׁת	Dabbesheth;humps_of
דַּד	bosom_of;bosoms_of;breasts_of
דַּהֲרָה	galloping;galloping_of
דַּוָּג	fishermen
דַּוָּי	faint;sick
דַּחֲוָה	entertainment
דַּי	able_of;amount_of;as_often_as_of;as_often_of;deserving_of;dues_of;enough_of;fullness_of;measure;mere_of;needs_of;no_end_of;often_as_of;often_of;sake_of;sufficiency_of;sufficient;sufficient_of;swarm_of;times_of;what_~_wanted_of;whenever_of
דַּיִשׁ	threshing
דַּיָּג	fishermen
דַּיָּה	birds_of_prey;falcon
דַּיָּן	judge;judge_of;judges
דַּךְ	crushes_of;oppressed
דַּכָּא	contrite;crushed_of;dust
דַּכָּה	crushing
דַּל	haggard;lowly;needy;poor;weak;weaker_and_weaker;weakest
דַּלְפוֹן	Dalphon
דַּלֶּקֶת	inflammation
דַּלָּה	flowing_locks_of;loom;poor;poorest_of
דַּמֶּשֶׂק	Damascus
דַּנָּה	Dannah
דַּעַת	information;intent;intention;know;know_of;knowledge;knowledge_of;premeditation;what_~_know_of
דַּק	dwarf;fine;finely_ground;gentle;ones_gaunt_of;thin
דַּר	mother-of-pearl
דַּרְדַּע	Darda
דַּרְדַּר	thistle;thistles
דַּרְכְּמוֹן	darics
דַּרְקוֹן	Darkon
דָּֽבְרַת	Daberath
דָּֽרְבֹנָה	goads
דָּֽרְיָוֶשׁ	Darius
דָּא	another;one;that;this
דָּאֵב	faint;grows_dim;languish
דָּאַג	afraid;anxious;dread;dreaded;sorry;worrying
דָּאָה	came_swiftly;red_kite;swoop_down
דָּבֵק	held_fast;joined;sticks_closer
דָּבַב	gliding_over
