Lemma	Glosses
אֲחַשְׁתְּרָן	royal
אֲחַשְׁתָּרִי	Haahashtari
אֲחֹרַנִּית	back;backward;backwards;turned_away
אֲחֻזַּת	Ahuzzath
אֲחֻזָּה	inherited_of;occupy_of;place_of;possess_of;possesses_of;possession;possession_of;possessions_of;property;property_of
אֲחֻזָּם	Ahuzzam
אֲחוֹחִי	Ahohite
אֲחוֹחַ	Ahoah
אֲחוּמַי	Ahumai
אֲכִילָה	food
אֲכַל	accused;ate;devour;devoured;they_chewed_up
אֲלִיפֶלֶט	Eliphelet;Elpelet
אֲלַף	thousand;thousands;thousands_of
אֲלֻמָה	sheaf_of;sheaves;sheaves_of
אֲלוּ	behold
אֲמִתַּי	Amittai
אֲמֵלָל	feeble
אֲמַן	faithful;trusted;trustworthy
אֲמַצְיָהוּ	Amaziah
אֲמַר	applied;asked;command;commanded;declared;gave_orders;gave_the_command;in_reply;related;said;say;saying;speak;speaks;spoke;tell;told
אֲמַרְיָהוּ	Amariah
אֲמָם	Amam
אֲמָנָה	Abana;Amana;binding_agreement;settled_provision
אֲנִי	I;me;mine;my;myself;we
אֲנִיָּה	lamentation
אֲנִיעָם	Aniam
אֲנַחְנָא	we
אֲנַחְנוּ	us;we
אֲנַס	difficult
אֲנַף	face_of
אֲנָֽחֲרָת	Anaharath
אֲנָא	I
אֲנָה	I;me
אֲנָחָה	groaning_of;groans_of;sighing;sighing_of
אֲנָךְ	plumb_line;vertical
אֲנָפָה	heron
אֲנָקָה	gecko;groaning;groaning_of;groans_of
אֲסֵפָה	together
אֲסַפְסֻף	rabble
אֲסֻפָּה	collected
אֲפִיחַ	Aphiah
אֲפֵלָה	dark;darkness;deep_darkness;gloom;gloom_of;thick;thick_darkness
אֲפֵק	Aphek;Aphik
אֲפֵקָה	Aphekah
אֲפֵר	bandage
אֲפָֽרְסְכָיֵא	envoys;officials
אֲפָֽרְסַתְּכָיֵא	envoys
אֲפָֽרְסָיֵא	persians
אֲפֻדָּה	covered_of;ephod_of;skillfully_woven_of
אֲצַלְיָהוּ	Azaliah
אֲרְיוֹךְ	Arioch
אֲרִאֵיל	altar_hearth;hearth
אֲרִי	lion;lion's;lions;lions'
אֲרִיאֵל	Ariel;ariel
אֲרִידַי	Aridai
אֲרִידָתָא	Aridatha
אֲרִיךְ	fitting
אֲרִיסַי	Arisai
אֲרֶשֶׁת	request_of
אֲרַוְנָה	Araunah
אֲרַם נַהֲרַיִם	-naharaim;-Naharyim;Aram-
אֲרַם צוֹבָה	-zobah;Aram-
אֲרַמִּי	Aramean;Arameans
אֲרַע	earth;ground;inferior
אֲרַק	earth
אֲרָא	Ara
אֲרָב	Arab
אֲרָם	Aram;Aram-;Aram_of;Aramean;Arameans;Arameans_of;Arameans_of_Beth-;Edom;Edomites;Zobah
אֲרָמִית	Aramaic;in_Aramaic
אֲרָן	Aran
אֲרָרַט	Ararat
אֲרֻבָּה	floodgates_of;window;windows;windows_of
אֲרֻבּוֹת	Arubboth
אֲרֻחָה	allowance_of;dinner_of;ration
אֲרוֹד	Arod
אֲרוֹדִי	Arodi;Arodites
