TraditionalName	LVName
Anan	ˊĀnān
Anani	ˊAnānī
Ananiah	ˊAnanyāh
Ananias	Ananias
Anath	ˊAnāt
Anathoth	ˊAntotī
Anathoth	ˊAnātōt
Anathothite	ˊAntotī
Andrew	Andreas
Andronicus	Andronikos
Anem	ˊĀnēm
Aner	ˊĀnēr
Aniam	ʼAnīˊām
Anna	Hanna
Annas	Annas
Anthothijah	ˊAntotiyyāh
Antioch	Antioⱪeia
Antiochene	Antioⱪeia
Antipatris	Antipatris
Antothijah	ˊAntotiyyāh
Anub	ˊĀnūⱱ
Apelles	Apellaʸs
Aphek	ʼAfēq
Aphiah	ʼAfīaḩ
Apollonia	Apollōnia
Apollos	Apollōs
Apollyon	Apolluōn
Appaim	ʼAppayim
Apphia	Apfia
Appius	Appios
Aquila	Akulas
Ar	ˊĀr
Ara	ʼArāʼ
Arab	ˊArāⱱī
Arabah	ˊArāⱱāh
Arabia	Arabia
Arabia	ˊĒreⱱ
Arabian	ˊArāⱱī
Arabians	ˊArāⱱī
Arabs	Arabia
Arabs	ˊArāⱱī
Arad	ˊArād
Arah	ʼĀraḩ
Aram	Aram
Aram	Rām
Aram	ʼArām
Aramaic	ʼArāmīt
Aramean	ʼArammiy
Arameans	ʼArammiy
Arameans	ʼArām
Aran	ʼArān
Ararat	ʼArāraţ
Araunah	ʼAravnāh
Arba	ʼArbaˊ
Arbathite	ˊArⱱātī
Arbite	ʼArbiy
Archelaus	Arⱪelaos
Archippus	Arⱪippos
Archite	ʼArkī
Ardon	ʼArdōn
Areopagite	Areopagitaʸs
Aretas	Aretas
Argob	ʼArgoⱱ
Arieh	ʼAryēh
Ariel	ʼArīʼēl
Aries	Areios
Arimathea	Arimathaia
Arioch	ʼArəyōk
Aristarchus	Aristarⱪos
Aristobulus	Aristoboulos
Arkite	ˊArqī
Arkites	ˊArqī
Armageddon	Harmagedōn
Armageddon	Mount-Megiddon
Armoni	ʼArmonī
Arnan	ʼArnān
Arni	Arni
Arni	Rām
Arnon	ʼArnōn
Aroer	ˊArōˊēr
Arpachshad	ʼArpakshad
Arpad	ʼArpād
Arphaxad	Arfaxad
Arphaxad	ʼArpaksad
Arphaxad	ʼArpakshad
Arqi	ˊArqī
Artaxerxes	ʼArtaḩshashtāʼ
Artemas	Artemas
Artemis	Artemis
Arubboth	ʼArubōt
Aruboth	ʼArubōt
Arumah	ʼArūmāh
Arvad	ʼArvad
Arvadi	ʼArvādī
Arvadite	ʼArvādī
Arvadites	ʼArvādī
Aryok	ʼArəyōk
Arza	ʼArʦāh
Asa	ʼĀşāʼ
Asah	ˊAsāh
Asahel	ˊAsāhʼēl
Asaiah	ˊAsāyāh
Asaph	Asaf
Asaph	ʼĀşāf
Asarel	ʼAsarʼēl
Asarelah	ʼAsarʼēlāh
Asenath	ʼEşənat
Aser	Asaʸr
Aser	ʼĀshēr
Ashan	ˊĀshān
Asharelah	ʼAsarʼēlāh
Ashbea	ʼEshbēˊa
Ashbel	ʼAshbēl
Ashdod	ʼAshdōd
Asher	ʼĀshēr
Asherah	ʼAshērāh
Ashima	ʼAshimāʼ
Ashkelon	ʼAshqəlōn
Ashkenaz	ʼAshkənaz
Ashpenaz	ʼAshpənaz
Ashtaroth	ˊAshtārōt
Ashterathite	ˊAshtərātī
Ashtoreth	ˊAshtoret
Ashurites	ʼAshūrī
Ashvath	ˊAshvāt
Asia	Asia
Asians	Asia
Asiel	ˊAsiyʼēl
Asna	ʼAşnāh
Asnappar	ʼĀşənappar
Asriel	ʼAsrīʼēl
Asshur	ʼAshshūr
Asshur	ʼAshḩūr
Asshurim	ʼAshūrī
Assir	ʼAşşir
Assos	Assos
Assyria	ʼAshshūr
Asyncritus	Asugkritos
Atarah	ˊAţārāh
Ataroth	ˊAţārōt
Ater	ʼĀţēr
Athach	ˊAtāk
Athaiah	ˊAtāyāh
Athaliah	ˊAtalyāh
Athenians	Athaʸnai
Athens	Athaʸnai
Athlai	ˊAtlay
Atroth	ˊAţrōt
Attai	ˊAttay
Augustus	Augustus
Augustus	Σεβαστός
Avims	ˊAvviy
Avites	ˊAvviy
Avith	ˊAvīt
Avvah	ˊIvvāh
Avvim	ˊAvvim
Avvites	ˊAvvim
Azal	ʼĀʦal
Azaliah	ʼAʦalyāhū
Azaniah	ʼAzanyāh
Azareel	ˊAzarʼēl
Azarel	ˊAzarʼēl
Azariah	ˊAzaryāh
Azaryah	ˊAzaryāh
Azaz	ˊĀzāz
Azaziah	ˊAzazyāhū
Azbuk	ˊAzbūq
Azekah	ˊAzēqāh
Azel	ʼĀʦēl
Azgad	ˊAzgād
Aziel	ˊAzīʼēl
Aziza	ˊAzīzāʼ
Azmaveth	ˊAzmāvet
Azor	Azōr
Azor	ˊAzzūr
Azotus	Azōtos
Azotus	ʼAshdōd
Azriel	ˊAzrīʼēl
Azrikam	ˊAzrīqām
Azubah	ˊAzūⱱāh
