Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment

# NOTE 1: This table only distinguishes names, not making any attempt to separate different people or places
# NOTE 2: Although this table applies to the OET-LV, the versification used is the ENGLISH system
# NOTE 3: Hebrew names that are also short English words (like Ham) may need the 'w' whole word flag so that the matching isn't overdone

# Individuals (or gods)
H					CH1_27:29				Adlai			עַדְלַי		H5724 (1) 1Chr 27:29*
H					CH1_12:31,CH2_17:14				Adnah			עַדְנָה		H5734 (2) 1Chr 12:31, 2Chr 17:14*
H	SA2,KI1,CH1,CH2								Adonijah			אֲדֹנִיָּה		H138 (26) 2Sam 3:4, 1Ki 1:15, ...
H	EZR,NEH								Adonikam			אֲדֹנִיקָם		H140 (3) Ezr 2:13, 8:13, Neh 7:18*
H					KI1_4:6,KI1_5:14				Adoniram			אֲדֹנִירָם		{ H141 (2) 1Ki 4:6, 5:14*
H					SA2_20:24,KI1_12:18				Adoram			אֲדֹרָם		{ shortened form H151 (2) 2Sam 20:24, 1Ki 12:18*
H	KI2,ISA								Adrammelech			אַדְרַמֶּלֶךְ		H152 (3) 2Ki 17:31, 19:37, Isa 37:38*
H					SA1_18:19,SA2_21:8				Adriel			עַדְרִיאֵל		H5741 (2) 1Sam 18:19, 2Sam 21:8*
H					EZR_10:30,NEH_12:15				Adna			עַדְנָא		H5733 (2) Ezr 10:30, Neh 12:15*
H					SA2_23:11				Agee			אָגֵא		H89 (1) 2Sam 23:11*
H									Ahab			אַחְאָב		H256 (93) 1Ki 16:28-30,33, 17:1, 18:1-3,5-6, ...
H					CH1_8:1				Aharah			אַחְרַח		H315 (1) 1Chr 8:1*
H					CH1_4:8				Aharhel			אֲחַרְחֵל		H316 (1) 1Chr 4:8*
H					SA2_23:34				Ahasbai			אֲחַסְבַּי		H308 (1) 2Sam 23:34*
H	EZR,EST								Ahasuerus			אֲחַשְׁוֵרוֹשׁ		H325 (31) Ezr 4:6, Est 1:1-2,9-10,15-17,19, ...
wH									Ahaz			אָחָז		H271 (41) 2Ki 15:38, 16:1-2,5,7-8,10-11,15-17, ...
H									Ahaziah			אֲחַזְיָה		H274 (37) 1Ki 22:40, 22:49,51, 2Ki 1:2,18, 8:24-26, ...
H					CH1_2:29				Ahban			אַחְבָן		H257 (1) 1Chr 2:29*
H					CH1_7:12				Aher			אַחֵר		H313 (1) 1Chr 7:12*
wH					CH1_5:15,CH1_7:34				Ahi			אֲחִי		H277 (2) 1Chr 5:15, 7:34*
H					SA2_23:33,CH1_11:35				Ahiam			אֲחִיאָם		H279 (2) 2Sam 23:33, 1Chr 11:35*
H					CH1_7:19				Ahian			אַחְיָן		H291 (1) 1Chr 7:19*
H	NUM,CH1								Ahiezer			אֲחִיעֶזֶר		H295 (6) Num 1:12, 2:25, 7:66,71, 10:25, 1Chr 12:3*
H					CH1_8:7				Ahihud			אֲחִיחֻד		H284 (1) 1Chr 8:7*
H	SA1,KI1,KI2,CH1,CH2,NEH								Ahijah			אֲחִיָּה		H281 (24) 1Sam 14:3,18, 1Ki 4:3, 11:29-30, 12:15, 14:2,4-6,18, ...
H	KI2,CH2,JER								Ahikam			אֲחִיקָם		H296 (20) 2Ki 22:12,14, 25:22, 2Chr 34:20, Jer 26:24, ...
H	SA2,KI1,CH1								Ahilud			אֲחִילוּד		H286 (5) 2Sam 8:16, 20:24, 1Ki 4:3,12, 1Chr 18:15*
H	SA1,SA2,CH1,PSA								Ahimelech			אֲחִימֶלֶךְ		H288 (17) 1Sam 21:2-3,9, 22:9,11,14,16,20, ...
H	NUM,JOS,JDG,CH1								Ahiman			אֲחִימַן		H289 (4) Num 13:22, Josh 15:14, Jdg 1:10, 1Chr 9:17*
H	SA1,SA2,KI1,CH1								Ahimaaz			אֲחִימַעַץ		H290 (15) 1Sam 14:50, 2Sam 15:27,36, ...
H					CH1_6:26				Ahimoth			אֲחִימוֹת		H287 (1) 1Chr 6:26*
H					KI1_4:14				Ahinadab			אֲחִינָדָב		H292 (1) 1Ki 4:14*
H	SA1,SA2,CH1								Ahinoam			אֲחִינֹעַם		H293 (7) 1Sam 14:50, 25:43, 27:3, 30:5, 2Sam 2:2, 3:2, 1Chr 3:1*
H	SA2,CH1								Ahio			אַחְיוֹ		H283 (6) 2Sam 6:3-4, 1Chr 8:14,31, 9:37, 13:7*
H					CH1_7:10				Ahishahar			אֲחִישָׁחַר		H300 (1) 1Chr 7:10*
H					KI1_4:6				Ahishar			אֲחִישָׁר		H301 (1) 1Ki 4:6*
H	SA2,CH1								Ahithophel			אֲחִיתֹפֶל		H302 (20) 2Sam 15:12,31,34, 16:15,20-21,23, ...
H	SA1,SA2,CH1,EZR,NEH								Ahitub			אֲחִיטוּב		H285 (15) 1Sam 14:3, 22:9,11-12,20, 2Sam 8:17, ...
H	SA1,KI1,KI2,CH1,CH2,NEH								Ahijah			אֲחִיָּה		H281 (24) 1Sam 14:3, 14:18, 1Kings 4:3, 11:29-30, ...
