Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment
# Individuals
dHG									Joses			Ἰωσῆς/(יוֹסֵף?)
dHG									Joshua			Ἰησοῦς/(יְהוֹשׁוּעַ)		Acts 7:45 same as Jesus
dHG									Josiah			Ἰωσίας/(יאֹשִׁיָּה)
dHG									Jotham			Ἰωαθάμ/(יוֹתָם)
dHG									Jodah			Ἰούδα/(יֻטָּה/יְהוּדָה)		Luke 3:26
dHG									Judah			Ἰούδα/(יְהוּדָה)
dHG									Judas			Ἰούδας/(יְהוּדָה)
wdHG									Jude			Ἰούδας/(יְהוּדָה)
wdHG									Kis			Κίς/(קִישׁ)		Acts 13:21
wdHG									Kore			Κορέ/(קֹרַח)		Jude 11
dHG									Lamech			Λάμεχ/(לֶמֶךְ)
wdHG									Levi			Λευΐ/(לֵוִי)
wdHG									Lot			Λώτ/(לוֹט)		Luke 17:28
wdHG									Maat			Μαάθ/(מָעַט?)
dHG									Maath			Μαάθ/(מָעַט?)
dHG									Magog			Μαγώγ/(מָגוֹג)
dHG									Maleleel			Μαλελεήλ/(מַהֲלַלְאֵל)
dHG									Manasseh			Μανασσῆς/(מְנַשֶּׁה)		Rev 7:6
dHG									Mary			Μαρία/(מִרְיָם)
dHG									Mathusala			Μαθουσάλα/(מְתוּשֶׁלַח)
dHG									Matthan			Ματθάν/(מַתָּן)
dHG									Matthat			Μαθθὰτ/(מַתָּת)
dHG									Matthat			Ματθάτ/(מַתָּת)
dHG									Mattathias			Ματταθίας/(מַתִּתְיָה)
dHG									Mattatha			Ματταθά/(מַתַּתָּה)
dG									Mattat			Μαθθὰτ/(?)
dHG									Melea			Μελεᾶς/(מְלֵאָה?)
dHG									Melchisedek			Μελχισεδέκ/(מַלְכִּי־צֶדֶק)
wdHG									Melchi			Μελχί/(מֶלֶךְ)
dG									Menna			Μαϊνάν/(?)
