Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment
G									Quartus			Κούαρτος
G									Rhoda			Ῥόδη		Acts 12:13
G									Romfa			Ῥεμφάν		Acts 7:43
G									Rufus			Ῥοῦφος
G									Salome			Σαλώμη		Mrk 15:40, 16:1
G									Sapphira			Σαπφείρη		Acts 4:1
G									Sceva			Σκευᾶς		Acts 19:14
G									Secundus			Σεκοῦνδος		Acts 20:4
G									Sergius			Σέργιος		Acts 13:6
G									Silas			Σίλας		Acts 15:22
G									Silvanus			Σιλουανός
wG									Simon			Σίμων
G									Sopater			Σώπατρος		Acts 20:4
G									Sosipater			Σωσίπατρος		Rom 16:21
G									Sosthenes			Σωσθένης
G									Stachys			Στάχυς
G									Stephanas			Στεφανᾶς		1 Cor 1:16
G									Stephen			Στέφανος		Acts 6:5
G									Syntyche			Συντύχη		Php 4:2
G									Tabitha			Ταβηθά		Acts 9:36
G									Tertius			Τέρτιος		Rom 16:22
G									Tertullus			Τέρτυλλος		Acts 24:1-2 barrister
G									Thaddeus			Θαδδαῖος
G									Theophilus			Θεόφιλος		Acts 1:1
G									Theudas			Θευδᾶς		Acts 5:36
G									Thomas			Θωμᾶς
G									Tiberias			Τιβερίος
G									Timeus			Τιμαῖος		Mrk 10:46
G									Timon			Τίμων		Acts 6:5
G				id					Timothy			Τιμόθεος
G				id					Titus			Τίτος
G									Trophimus			Τρόφιμος		2 Tim 4:20
G									Tryphena			Τρύφαινα
G									Tryphosa			Τρυφῶσα
G									Tychicus			Τυχικός		2 Tim 4:12
G									Tyrannus			Τύραννος		Acts 19:9
G									Urbanus			Οὐρβανός
G									Zaccheus			Ζακχαῖος		Luke 19:2
G									Zacharias			Ζαχαρίας
G									Zebedee			Ζεβεδαῖος
G									Zenas			Ζηνᾶς		Tit 3:13
G									Zeus			Ζεύς		Acts 14:12-13

# Tribes/Groups
G									Alexandrian			from_Ἀλεξανδρια		Acts 27:6 ship
G									Antiochene			from_Ἀντιόχεια		Acts 6:5
G									Arabs			\add >ones\add*_from_Ἀραβία		Acts 2:11
G									Areopagite			Ἀρεοπαγίτης		Acts 17:34
G									Asians			\add >ones\add*_from_Ἀσία		Acts 20:4
G									Athenians			\add >ones\add*_from_Ἀθῆναι		Acts 17:21
G									Berean			from_Βέροια		Acts 20:4
G									Canaanite			member_of_Κανανίτης
G									Colosse			Κολοσσαί		Col 1:2
G									Corinthians			Κορίνθιος		2 Cor 6:11
G									Cretans			\add >ones\add*_from_Κρήτη		Acts 2:11 Tit 1:12
G									Cyrenians			\add >ones\add*from_Κυρήνη		Acts 6:9
G									Cyrenian			from_Κυρήνη		Mat 27:32
G									Cyprian			from_Κύπρος		Acts 4:36 Cyprus, an island at the east end of the Mediterranean Sea
G									Derbean			from_Δέρβη		Acts 20:4
G									Elamites			\add >ones\add*_from_Ἐλαμ		Acts 2:9
G				id					Ephesians			\add >ones\add*_from_Ἔφεσος		Acts 19:28
G				id					Ephesian			from_Ἔφεσος		Acts 21:29
G									Epicureans			Ἐπικούρειος		Acts 17:18
G									Gadarenes			Γαδαρηνός
G									Galileans			Γαλιλαῖος
wG									Galilean			Γαλιλαῖος
G									Greeks			Ἕλληνs		John 7:35 (English s at end)
wG									Greek			Ἕλλην
G									Hebrews			Ἑβραῖος		Acts 6:1 No indication of plural here
G									Hebrew			Ἑβραῖος		Php 3:5
G									Hellenists			Ἑλληνιστής		Acts 6:1
G									Herodians			supporters_of_Ἡρῴδης		Mrk 3:6
G									Italian			from_Ἰταλία		Acts 10:1
G									Jewish			Ἰουδαίωνs		Acts 10:28 English s adjective NOT REALLY HAPPY WITH THIS YET!
G									Jews			Ἰουδαίωνs		Matt 2:2 English s NOT REALLY HAPPY WITH THIS YET!
wG									Jew			Ἰουδαῖος		Acts 18:2 NOT REALLY HAPPY WITH THIS YET!
G									Judeans			\add >ones\add*_from_Ἰουδαία		Acts 2:11
G									Laodiceans			\add >ones\add*_from_Λαοδικεία		Col 4:16
G									Macedonians			\add >ones\add*_from_Μακεδονία		2 Cor 9:2
G									Macedonian			from_Μακεδονία		Acts 16:9
G									Magdalene			from_Μαγδαλά
G									Medes			\add >ones\add*_from_Μῆδια		Acts 2:9
G									Nazarean			Ναζαρηνός
G									Nazarenes			Ναζωραῖος		Acts 24:5
G						ACT_24:5			Nazarene			from_Ναζαρέτ		Matt 2:23 Acts 2:22
G									Parthians			\add >ones\add*_from_Πάρθια		Acts 2:9
G									Philippians			Φιλιππήσιος		Php 4:15 plus in headings
G				id					Romans			Ῥωμαῖος		John 11:48
G				id					Roman			Ῥωμαῖος		Acts 23:26-27,29
G									Scythian			Σκύθης		Col 3:11
G									Stoic			Στωϊκός		Acts 17:18
G									Syrian			from_Συρία		Luke 4:27
G									Syrophoenician			from_Φοινίκη_in_Συρία		Mrk 7:26
G									Tarsian			from_Ταρσός		Acts 9:11
G									Thessalonians			\add >ones\add*_from_Θεσσαλονίκη		Acts 20:4
G									Thessalonian			from_Θεσσαλονίκη		Acts 27:2

# Languages
G									Lyconian			Λυκαονιστί		Acts 14:11

# Places
G									Abilene			Ἀβιληνή		Luke 3:1
G									Achaia			Ἀχαϊα
G									Adramyttium			Ἀδραμυττηνός		Acts 27:2 ship
G									Adriatic			Ἀδρίας		Acts 27:27 sea
G									Akeldamach			Ἀκελδαμά		Acts 1:19
G									Amphipolis			Ἀμφίπολις		Acts 17:1
G									Antioch			Ἀντιόχεια		2 Tim 3:11
G									Antipatris			Ἀντιπατρίς		Acts 23:31
G									Apollonia			Ἀπολλωνία		Acts 17:1
G									Appius			Ἄππιος		Acts 28:15
G									Arabia			Ἀραβία		Gal 1:17
G									Aries			Ἄρειος		Acts 17:19
G									Arimathea			Ἀριμαθαία		Mrk 15:43
G									Asia			Ἀσία
G									Assos			Ἄσσος		Acts 20:13
G									Athens			Ἀθῆναι
G									Berea			Βέροια		Acts 17:10
G									Bethany			Βηθανία
G									Bethphage			Βηθφαγή		Matt 21:1
G									Bethsaida			Βηθσαϊδά
G									Bithynia			Βιθυνία
G									Caesarea			Καισάρεια		Acts 8:40
wG									Cana			Κανὰ
G									Capernaum			Καφαρναοὺμ
G									Cappadocia			Καππαδοκία
G									Cenchrea			Κεγχρεαί
G									Chios			Χίος		Acts 20:15
G									Chorazin			Χοραζίν
G									Cilicia			Κιλικία		Acts 15:22
G									Clauda			Κλαῦδη		Acts 27:16 island
G									Cnidus			Κνίδος		Acts 27:7
wG									Corinth			Κόρινθος
wG									Cos			Κῶς		Acts 21:1
G									Crete			Κρήτη		Tit 1:5
G									Cyrene			Κυρήνη		Acts 2:10 a district west of Egypt on the Mediterranean coast
G									Cyprus			Κύπρος		Acts 11:19
G									Dalmatia			Δαλματία		2 Tim 4:10
G									Decapolis			Δεκάπολις
G									Derbe			Δέρβη		Acts 14:6
G									Emmaus			Ἐμμαούς		Luke 24:13
G									Ephesus			Ἔφεσος
G									Euphrates			Εὐφράτης
G									Gabbatha			Γαββαθᾶ		John 19:13
G				id					Galatian			Γαλατικός		Acts 16:6
wG									Galatia			Γαλατία
G									Galilee			Γαλιλαία
G									Gallia			NOT_Γαλιλαία_NOT		2 Tim 4:10
G									Gerasenes			Γερασηνῶν
G									Gethsemane			Γεθσημανῆ
G									Greece			Ἑλλάς		Acts 20:2
G									Hades			ᾍδης
G									Hierapolis			Ἱεράπολις		Col 4:13
G									Iconium			Ἰκόνιον		2 Tim 3:11
G									Idumea			Ἰδουμαία		Mrk 3:8
G									Illyricum			Ἰλλυρικόν		Rom 15:19
G									Italy			Ἰταλία		Acts 18:2
G									Iturea			Ἰτουραῖος		Luke 3:1
G									Joppa			Ἰόππῃ
wG									Judea			Ἰουδαία
G									Laodicea			Λαοδικεία
G									Lasaea			Λασαία		Acts 27:8
G									Libya			Λιβύη		Acts 2:10 North Africa
G									Lycaonia			Λυκαονία		Acts 14:6
G									Lycia			Λυκία		Acts 27:5
G									Lystra			Λύστρα		2 Tim 3:11
G									Macedonia			Μακεδονία
G									Magadan			Μαγαδάν
G									Melita			Μελίτη		Acts 28:1 island
G									Mesopotamia			Μεσοποταμία		Acts 2:9
G									Miletus			Μίλητος		2 Tim 4:20
G									Mitylene			Μιτυλήνη		Acts 20:14
G									Myra			Μύρα		Acts 27:5
G									Mysia			Μυσία		Acts 16:7
G									Nain			Ναΐν		Luke 7:11
G									Nazareth			Ναζαρέτ
G									Nicolaitans			Νικολαΐτης		Rev 2:6
G									Nicopolis			Νικόπολις		Tit 3:12
G									Paphos			Πάφος		Acts 13:6
G									Pamphylia			Παμφυλία		Acts 2:10 a province of Asia Minor
G									Patara			Πάταρα		Acts 21:1
G									Patmos			Πάτμος
wG									Perga			Πέργη		Acts 13:13
G									Pergamus			Πέργαμος
G									Philadelphia			Φιλαδέλφεια
wG									Philippi			Φιλίππου
G									Phoenicia			Φοινίκη		Acts 11:19
G									Phoenix			Φοῖνιξ		Acts 27:12
G									Phrygia			Φρυγία		Acts 2:10
G									Pisidia			Πισιδία		Acts 13:14
wG									Pontus			Πόντος
G									Ptolemais			Πτολεμαΐς		Acts 21:7
G									Puteoli			Ποτίολοι		Acts 28:13
G									Rhegium			Ῥήγιον		Acts 28:13
G									Rhodes			Ῥόδος		Acts 21:1 island
wG									Rome			Ῥώμη
G									Salamis			Σαλαμίς		Acts 13:5 in Cyprus
G									Salim			Σαλείμ		John 3:23
G									Samos			Σάμος		Acts 20:15
G									Samothrace			Σαμοθρᾴκη		Acts 16:11
wG									Sardis			Σάρδεις
G									Seleucia			Σελεύκεια		Acts 13:4
G									Siloam			Σιλωάμ		Luke 13:4
wG									Smyrna			Σμύρνα
G									Spain			Σπανία		Rom 15:24
G									Sychar			Συχάρ		John 4:5
G									Syracuse			Συράκουσαι		Acts 28:12 a large maritime city of Sicily
G									Syrtis			Σύρτις		Acts 27:17 sandbanks
G									Tarsus			Ταρσός		Acts 9:30
G									Thessalonica			Θεσσαλονίκη		2 Tim 4:10
G									Thyatira			Θυάτειρα
G									Trachonitis			Τραχωνῖτις		Luke 3:1
wG									Troas			Τρῳάς

# Other
G									Euraquilo			Εὐροκλύδων		Acts 27:14 wind (noreaster)
#G									Judaism			Ἰουδαϊσμός		Gal 1:13 might be best left alone???
